parameter	lambda_true	lambda_predicted
dev_collission	4.898110061776983	4.088275208991182
dev_ego_heading	0.48316793820727	7.001405025317098
rel_heading	-1.528603407566468	-3.662245593919412
dev_collission	-6.176950382544103	-22.441251732671827
dev_ego_heading	2.8415600025460037	1.9787516884528933
rel_heading	-10.257680487982714	-0.5167182247453684
dev_collission	-21.0046487757496	-30.0
dev_ego_heading	11.230310433274244	14.046796539883537
rel_heading	-16.28895849590263	-19.957664384905087
dev_collission	-16.640578106350773	-20.41237929979581
dev_ego_heading	8.80545942004959	15.0
rel_heading	12.188452042759607	11.268260897436457
dev_collission	0.3730328898572708	0.9457471596701927
dev_ego_heading	-9.807607423944575	-15.0
rel_heading	-18.880322447699246	-12.159355933622878
dev_collission	3.2586859341464205	4.074726233744726
dev_ego_heading	-10.717083164845869	-7.575315573743516
rel_heading	16.900327705299276	20.0
dev_collission	-10.876888684218937	-6.208554069035168
dev_ego_heading	8.59584738828271	5.112994042189849
rel_heading	-7.998437352046972	-8.876259490985978
dev_collission	6.157538975166162	15.0
dev_ego_heading	-6.3788247431298775	-3.4160924005223583
rel_heading	-6.172337518990997	-5.025807473656868
dev_collission	-26.304615895241785	-22.511170879586977
dev_ego_heading	-6.462273872901628	-6.787305813054791
rel_heading	-8.205585951688619	-12.204375871644041
dev_collission	-3.192921836635474	-9.482507698032302
dev_ego_heading	10.793749058146268	5.05623545426851
rel_heading	-0.3854080220067502	-1.167369001128969
dev_collission	4.878144889317163	15.0
dev_ego_heading	11.281170784893298	13.699589031427077
rel_heading	-1.1061344330736311	-2.554134124808094
dev_collission	-20.661327672973442	-28.01279739308252
dev_ego_heading	-4.552463778917568	-3.2048378316207193
rel_heading	-6.080902082885643	-4.262147593063023
dev_collission	-25.519048098910027	-20.865991100947042
dev_ego_heading	-1.9376131667376537	-0.37159788765883983
rel_heading	-16.092105093251984	-12.242515174260959
dev_collission	13.234326158392612	15.0
dev_ego_heading	-0.41813543890024185	1.3531932611134494
rel_heading	5.102437452194227	10.735514711867992
dev_collission	-7.294912745505865	-13.15079688565259
dev_ego_heading	10.620908299923464	15.0
rel_heading	-8.801327915170965	-14.203236833329758
dev_collission	-9.469314801530643	-20.099287120974555
dev_ego_heading	0.06906901581676728	1.3826265827609618
rel_heading	6.164800461093385	14.431928362513682
dev_collission	9.560508255297428	1.4114303000686081
dev_ego_heading	1.1203868877637575	1.6094491931189125
rel_heading	10.45447192314299	20.0
dev_collission	-2.9731357156747436	0.07583077155889881
dev_ego_heading	-6.7588947252274725	-7.540238570507757
rel_heading	14.875615322702131	14.341194844999254
dev_collission	7.068630334703002	2.660692335014081
dev_ego_heading	6.614189786244733	3.7070599891017073
rel_heading	-4.241418549195416	-3.1760631770128915
dev_collission	-7.43659124461265	-12.638780473975574
dev_ego_heading	13.680770251925303	3.804094803483231
rel_heading	18.20723693343782	14.177907562348405
dev_collission	-0.557355339302422	-0.43280847499999486
dev_ego_heading	8.436109314908364	4.298592163514393
rel_heading	3.9221882777536194	0.10497388130616872
dev_collission	-23.10634930493639	-30.0
dev_ego_heading	5.064562395993924	2.8533950865231708
rel_heading	9.689228543326628	10.024115818628216
dev_collission	-8.744408211579092	-3.1765949603895045
dev_ego_heading	-11.768093199222669	-6.458229871852372
rel_heading	-10.824606480184396	-20.0
dev_collission	-22.00950039478329	-30.0
dev_ego_heading	-2.4518983573530573	-2.8793512853628376
rel_heading	-11.227870962693128	-13.428396494957427
dev_collission	-5.674582793828488	-5.768034696814622
dev_ego_heading	4.6727022270927705	4.7458013560009515
rel_heading	-1.2934075094610797	-1.6451186274683098
dev_collission	1.5720747031436275	0.6389508713909489
dev_ego_heading	14.788181133870744	13.699589031427077
rel_heading	-2.975951698831949	-2.554134124808094
dev_collission	-13.947583509993787	-28.01279739308252
dev_ego_heading	-14.662858723827494	-15.0
rel_heading	-18.219505832130324	-12.289013437153717
dev_collission	5.15060764432301	4.986528541506326
dev_ego_heading	2.2806407222366154	1.1807047823686887
rel_heading	17.72351276047808	15.606638162459866
dev_collission	13.444439771703465	7.261673886036361
dev_ego_heading	5.3208765174108095	5.6004751085319615
rel_heading	0.8701838694335464	-3.6400029668537757
dev_collission	-19.591045142684727	-30.0
dev_ego_heading	14.012029767672438	3.3386716838168597
rel_heading	-17.81878278213036	-4.915421049373573
dev_collission	-17.7804467449703	-10.825997736195246
dev_ego_heading	7.816550740830191	13.127147518528261
rel_heading	-11.141001956524178	0.8678448977983209
dev_collission	-11.092169433273376	-6.2441029461935855
dev_ego_heading	-4.977160762745964	-3.001528095025413
rel_heading	-5.47778811158631	-3.9947471822417757
dev_collission	-21.905502851660177	-22.07763379812305
dev_ego_heading	-5.1355096368533655	-15.0
rel_heading	-2.117869860100811	-2.2685606100887132
dev_collission	-24.553332212453544	-30.0
dev_ego_heading	6.629925365115067	15.0
rel_heading	2.8488764038824996	2.1674232843612877
dev_collission	5.531177684170125	4.051913792979559
dev_ego_heading	6.495527298113409	15.0
rel_heading	1.5215497532325237	0.39095946113740326
dev_collission	7.142962894234429	5.739560274747076
dev_ego_heading	-11.939772889977565	-4.854269395572888
rel_heading	-16.68831259495567	-20.0
dev_collission	-28.253653255139394	-30.0
dev_ego_heading	-12.784464766567968	-3.7137248665554523
rel_heading	5.268126499665602	-20.0
dev_collission	-10.012734493932395	-22.709733852662158
dev_ego_heading	-11.756494676847492	-3.8229331164677873
rel_heading	-18.819868225236874	-20.0
dev_collission	8.26614118048407	15.0
dev_ego_heading	11.580148161468642	2.067784648483524
rel_heading	-9.606191434760142	-5.342986630681565
dev_collission	7.018797372426924	8.337954622370152
dev_ego_heading	-11.31441784186297	-7.559495696730099
rel_heading	10.941345962523567	20.0
dev_collission	9.91360160187132	15.0
dev_ego_heading	0.15037195655306412	7.001405025317098
rel_heading	-9.444291986088711	-3.662245593919412
dev_collission	-27.117323527300552	-22.441251732671827
dev_ego_heading	-2.4006828731567467	-10.253297784456016
rel_heading	0.7446845092538759	1.808106068128513
dev_collission	-7.407563217912298	-25.131297770074617
dev_ego_heading	-12.688457388290686	-15.0
rel_heading	-12.889513926211587	-9.706917845898843
dev_collission	-6.470854122285491	-5.582305050562218
dev_ego_heading	1.055239512335202	0.8320701011341142
rel_heading	6.4093150084747705	20.0
dev_collission	-9.171607044864583	-3.2154144668013114
dev_ego_heading	7.693041796374253	4.866938194322089
rel_heading	4.683689456632134	9.06235049078522
dev_collission	-11.613456994731145	-8.295192958844687
dev_ego_heading	4.841869230697302	15.0
rel_heading	-14.827041031823192	-11.622717147506798
dev_collission	-25.002693594565603	-30.0
dev_ego_heading	-14.279401436926097	-11.004208278722935
rel_heading	12.913202439620243	16.03618197031237
dev_collission	7.318018799219928	2.411026521564724
dev_ego_heading	13.613076322718413	0.3191065868246496
rel_heading	-15.094997224807937	10.650089381003168
dev_collission	5.219630141492935	-11.448229403415821
dev_ego_heading	-0.7072815665153556	-0.7126278061809135
rel_heading	-13.739545890454611	-12.990077752088846
dev_collission	-10.489230945673498	-5.872305670227562
dev_ego_heading	-14.775710215198822	-14.813092343862305
rel_heading	-1.660888407633724	-9.880705504662242
dev_collission	9.582254365470156	13.932350464930877
dev_ego_heading	3.557132398895458	1.3391996470238614
rel_heading	-0.8679218564225657	-3.4301908721172394
dev_collission	-23.29135512220409	-30.0
dev_ego_heading	-1.2853726196643684	-3.216059223119413
rel_heading	-0.16566361678286157	0.10055499611277262
dev_collission	-2.5224860246461454	-5.220996689524462
dev_ego_heading	7.713454090843133	2.785315890814174
rel_heading	5.53549134057522	16.367688219507638
dev_collission	-0.13571176965344733	0.6313835182354987
dev_ego_heading	-14.090362694599587	0.052985912119177546
rel_heading	7.451493014239311	7.65028836737796
dev_collission	-13.14485622649071	-13.91893667177781
dev_ego_heading	-4.442279001040157	-8.235366915163997
rel_heading	1.0902147000106446	1.1245491906205334
dev_collission	10.281712554751032	2.740172239915602
dev_ego_heading	5.973737271523294	15.0
rel_heading	-17.00268912372508	-15.805704065473947
dev_collission	-7.739783791671599	-8.714205977847849
dev_ego_heading	1.06450794081071	1.6877008521290684
rel_heading	-10.826866620208154	-9.975496144692265
dev_collission	6.633568640326345	15.0
dev_ego_heading	4.082768849288026	4.305147579103646
rel_heading	-15.651940446576088	-20.0
dev_collission	13.688042627188935	15.0
dev_ego_heading	-1.5161005401408225	-1.4635559650311487
rel_heading	-1.0332564276179852	-1.7951116918843013
dev_collission	11.753731875058904	12.873530965485068
dev_ego_heading	-14.517097724429755	-15.0
rel_heading	-16.188312615519646	-12.201084904491037
dev_collission	-7.296845277361459	-3.0726987151540532
dev_ego_heading	7.2159185132530475	5.4167875089744
rel_heading	-16.222467688682215	-9.43658869280142
dev_collission	-0.8657525713328695	15.0
dev_ego_heading	0.9329082627795238	0.7929408316188109
rel_heading	3.3945858127332613	10.560691934072665
dev_collission	4.804623606806828	14.91449642781894
dev_ego_heading	10.307785573958796	1.6398552400228803
rel_heading	-14.907478446847513	-3.915891680189001
dev_collission	4.145011078506748	8.975231701575797
dev_ego_heading	14.484322589734187	15.0
rel_heading	18.07352931682245	1.5129096695613913
dev_collission	-14.135631029441337	1.379826833591385
dev_ego_heading	-0.17560096332923436	-10.253297784456016
rel_heading	15.296456133707025	1.808106068128513
dev_collission	-24.340986787617485	-25.131297770074617
dev_ego_heading	-8.256866550892182	-6.913181831959921
rel_heading	14.121880525715085	14.431598740797249
dev_collission	2.344314095689384	10.915451207015813
dev_ego_heading	10.705889769054039	1.5843035482644028
rel_heading	6.786839660772429	7.880864558672756
dev_collission	-20.693015077598403	-11.444542367087198
dev_ego_heading	5.982364094615264	-2.4105084154372936
rel_heading	14.86579812585176	-20.0
dev_collission	-26.57869130717827	15.0
dev_ego_heading	-10.028366873348968	-8.122107452493056
rel_heading	12.343456254768789	20.0
dev_collission	6.509591625292657	15.0
dev_ego_heading	10.933321270641123	13.805138749483287
rel_heading	-2.0087361595898017	-3.5054851305319445
