parameter	lambda_true	lambda_predicted
dev_ego_heading	-10.0	-4.578528844631789
dev_ego_heading	-10.0	-4.578528844631789
dev_ego_heading	-10.0	-3.9587082374876084
dev_ego_heading	-10.0	-3.9587862465393155
dev_ego_heading	-10.0	-2.9900212892201283
dev_ego_heading	-8.571428571428571	-5.493798475468179
dev_ego_heading	-8.571428571428571	-5.4940225983103215
dev_ego_heading	-8.571428571428571	-5.484512588190045
dev_ego_heading	-8.571428571428571	-5.485210758082903
dev_ego_heading	-8.571428571428571	-4.8531320653489685
dev_ego_heading	-7.142857142857142	-2.9965487280957657
dev_ego_heading	-7.142857142857142	-2.9965487280957657
dev_ego_heading	-7.142857142857142	-7.880914564290846
dev_ego_heading	-5.714285714285714	-3.4155373753836282
dev_ego_heading	-5.714285714285714	-3.4151525434872
dev_ego_heading	-5.714285714285714	-4.204908958290393
dev_ego_heading	-5.714285714285714	-4.204894909176413
dev_ego_heading	-4.285714285714286	-2.4396918367088882
dev_ego_heading	-4.285714285714286	-2.4395580391947784
dev_ego_heading	-4.285714285714286	-2.3890388908608813
dev_ego_heading	-4.285714285714286	-2.389160807028152
dev_ego_heading	-4.285714285714286	-3.3100727241900643
dev_ego_heading	-2.8571428571428568	-2.001539096461752
dev_ego_heading	-2.8571428571428568	-2.001696017800612
dev_ego_heading	-2.8571428571428568	-1.0311126641874293
dev_ego_heading	-2.8571428571428568	-1.0309671545522194
dev_ego_heading	-1.4285714285714288	-1.2374445496759787
dev_ego_heading	-1.4285714285714288	-1.23737858877082
dev_ego_heading	-1.4285714285714288	-1.8411842300725014
dev_ego_heading	-1.4285714285714288	-1.8411865455128802
dev_ego_heading	0.0	0.09265460960257083
dev_ego_heading	0.0	0.09262467218953285
dev_ego_heading	0.0	0.7053217058368575
dev_ego_heading	0.0	0.7053217058368575
dev_ego_heading	0.0	0.42043043467178615
dev_ego_heading	1.4285714285714288	1.3606724283493734
dev_ego_heading	1.4285714285714288	1.3607097771934298
dev_ego_heading	1.4285714285714288	1.9237859230196825
dev_ego_heading	1.4285714285714288	1.9237859230196825
dev_ego_heading	1.4285714285714288	0.9440849145269641
dev_ego_heading	2.8571428571428577	2.4038563861584556
dev_ego_heading	2.8571428571428577	2.402802990112736
dev_ego_heading	2.8571428571428577	2.344297091939381
dev_ego_heading	2.8571428571428577	2.3444653043835926
dev_ego_heading	4.2857142857142865	2.8198266550034847
dev_ego_heading	4.2857142857142865	2.8193575633080803
dev_ego_heading	4.2857142857142865	4.646529473216594
dev_ego_heading	4.2857142857142865	4.646529473216594
dev_ego_heading	5.714285714285715	5.665214305952649
dev_ego_heading	5.714285714285715	5.665214305952649
dev_ego_heading	5.714285714285715	2.794431422630352
dev_ego_heading	5.714285714285715	2.794431422630352
dev_ego_heading	5.714285714285715	4.405256348885853
dev_ego_heading	7.142857142857142	4.074070249421337
dev_ego_heading	7.142857142857142	4.073987145714182
dev_ego_heading	7.142857142857142	4.506794541253982
dev_ego_heading	7.142857142857142	4.506816647820452
dev_ego_heading	8.571428571428573	3.992220068616969
dev_ego_heading	8.571428571428573	3.9925015306128127
dev_ego_heading	8.571428571428573	4.412004308418163
dev_ego_heading	8.571428571428573	4.412004308418163
dev_ego_heading	8.571428571428573	5.931864737918126
dev_ego_heading	10.0	6.852609348556449
dev_ego_heading	10.0	6.851351828725534
dev_ego_heading	10.0	3.2402230695519396
dev_ego_heading	10.0	3.2402409979210267
